Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-03-01T15:03:00+00:00,,,54.339782,-1.435137,Female,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,
Person search,2023-03-01T16:03:00+00:00,,,53.960859,-1.070836,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-03-01T18:03:00+00:00,,,53.922228,-1.077481,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-03-02T03:03:00+00:00,,,54.485522,-0.610432,Female,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-03-02T06:03:00+00:00,,,53.954050,-1.059787,Male,18-24,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),,,False,
Person search,2023-03-02T06:03:00+00:00,,,53.958346,-1.080242,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-03-02T15:03:00+00:00,,,54.337709,-1.431782,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-03-02T19:03:00+00:00,,,53.978438,-1.569462,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-03-02T20:03:00+00:00,,,54.005414,-1.536892,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-03-02T22:03:00+00:00,,,54.133474,-1.521998,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-03-02T23:03:00+00:00,,,54.003701,-1.537964,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-03-02T23:03:00+00:00,,,53.992904,-1.541973,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-03-02T23:03:00+00:00,,,53.785339,-1.067675,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-03-03T02:03:00+00:00,,,53.803935,-1.251085,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person search,2023-03-03T02:03:00+00:00,,,53.974407,-1.082976,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-03-03T03:03:00+00:00,,,53.960679,-1.077851,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),,,False,
