Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-06-30T23:00:00+00:00,,,51.586771,-3.038023,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-01T01:00:00+00:00,,,51.585558,-2.999621,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-07-01T01:00:00+00:00,,,51.761868,-3.286660,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-07-01T05:00:00+00:00,,,51.772183,-3.243865,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,,
Person search,2023-07-01T09:00:00+00:00,,,51.797101,-3.210922,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-07-01T09:00:00+00:00,,,51.797101,-3.210922,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-01T13:00:00+00:00,,,51.747046,-4.065401,Male,25-34,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-07-01T13:00:00+00:00,,,51.611550,-3.805098,Male,25-34,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-07-01T15:00:00+00:00,,,51.590622,-2.982381,Male,10-17,Asian/Asian British - Any other Asian background,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-07-01T16:00:00+00:00,,,51.652559,-3.022083,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,,
Person search,2023-07-01T16:00:00+00:00,,,51.580480,-2.989840,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-01T19:00:00+00:00,,,51.795680,-3.175545,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-01T22:00:00+00:00,,,51.654643,-3.225219,Male,25-34,Asian/Asian British - Any other Asian background,,Misuse of Drugs Act 1971 (section 23),,,,
Vehicle search,2023-07-01T22:00:00+00:00,,,51.689189,-3.229523,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-01T22:00:00+00:00,,,51.691283,-3.229637,Female,over 34,Asian/Asian British - Any other Asian background,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2023-07-01T22:00:00+00:00,,,51.689189,-3.229523,Female,10-17,Asian/Asian British - Chinese,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-01T23:00:00+00:00,,,51.640336,-2.677153,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-02T00:00:00+00:00,,,51.580979,-2.993517,Male,25-34,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-02T01:00:00+00:00,,,51.782700,-3.244169,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Vehicle search,2023-07-02T02:00:00+00:00,,,51.590030,-2.960499,,,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,
Person search,2023-07-02T03:00:00+00:00,,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2023-07-02T03:00:00+00:00,,,51.489003,-3.171686,Male,over 34,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-07-02T06:00:00+00:00,,,51.590030,-2.960499,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,
Person search,2023-07-02T06:00:00+00:00,,,51.590030,-2.960499,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,
Person search,2023-07-02T15:00:00+00:00,,,51.590799,-2.992316,Female,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-02T18:00:00+00:00,,,51.657464,-3.051063,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-02T18:00:00+00:00,,,51.657464,-3.051063,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-03T01:00:00+00:00,,,51.653931,-3.023574,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-07-03T08:00:00+00:00,,,51.734516,-3.135683,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-07-03T18:00:00+00:00,,,51.583150,-2.963976,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-07-03T18:00:00+00:00,,,51.583150,-2.963976,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-07-03T18:00:00+00:00,,,,,,,,,,,,,
Person search,2023-07-03T18:00:00+00:00,,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
