Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-04-01T05:04:00+00:00,,,54.010412,-1.469712,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-04-01T13:04:00+00:00,,,53.966468,-1.079095,Male,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-04-01T13:04:00+00:00,,,53.966468,-1.079095,Male,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-04-01T21:04:00+00:00,,,53.958398,-1.092228,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-04-02T05:04:00+00:00,,,53.945042,-1.091162,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-04-02T08:04:00+00:00,,,54.131573,-1.433856,Female,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-04-02T09:04:00+00:00,,,54.177343,-1.481395,Male,over 34,Other ethnic group - Not stated,Asian,,,,,
Person search,2023-04-02T09:04:00+00:00,,,53.956741,-1.071873,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,,False,
Person and Vehicle search,2023-04-02T14:04:00+00:00,,,54.249576,-0.771536,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-04-02T16:04:00+00:00,,,53.975407,-1.086888,Male,25-34,,White,,Controlled drugs,,False,
Person search,2023-04-02T16:04:00+00:00,,,54.209949,-0.294014,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-04-02T17:04:00+00:00,,,54.287383,-0.408959,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-04-02T20:04:00+00:00,,,54.239114,-0.382677,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-04-02T20:04:00+00:00,,,54.131152,-0.777965,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-04-03T00:04:00+00:00,,,53.945042,-1.091162,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-04-03T09:04:00+00:00,,,53.943271,-1.132381,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-04-03T10:04:00+00:00,,,53.943271,-1.132381,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2023-04-03T12:04:00+00:00,,,53.985452,-1.097712,Male,25-34,White - Any other White background,White,,,,,
Person and Vehicle search,2023-04-03T14:04:00+00:00,,,53.923264,-1.080185,Male,over 34,,Black,,,,,
Person search,2023-04-03T16:04:00+00:00,,,54.477597,-0.610624,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-04-03T20:04:00+00:00,,,53.986451,-1.043502,Female,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2023-04-03T21:04:00+00:00,,,53.993435,-1.528179,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-04-03T22:04:00+00:00,,,53.961140,-1.081758,Male,over 34,,White,,,,,
Person search,2023-04-04T00:04:00+00:00,,,,,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-04-04T03:04:00+00:00,,,54.414008,-0.688591,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-04-04T04:04:00+00:00,,,54.139189,-0.811138,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-04-04T04:04:00+00:00,,,53.953735,-1.092512,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-04-04T05:04:00+00:00,,,54.139189,-0.811138,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-04-04T11:04:00+00:00,,,54.344892,-1.441882,Female,18-24,,White,,,,,
Person search,2023-04-05T00:04:00+00:00,,,53.830120,-1.052931,Male,,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-04-05T15:04:00+00:00,,,54.283667,-0.393201,Female,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),,,False,
Person search,2023-04-05T16:04:00+00:00,,,54.134761,-0.799823,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,,False,
Person and Vehicle search,2023-04-06T08:04:00+00:00,,,53.880605,-1.356551,Male,25-34,,White,,,,,
Vehicle search,2023-04-06T08:04:00+00:00,,,53.880605,-1.356551,,over 34,,,,,,,
Person search,2023-04-07T03:04:00+00:00,,,,,Female,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,True,
Person search,2023-04-07T04:04:00+00:00,,,54.227406,-1.368351,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-04-07T21:04:00+00:00,,,54.310560,-1.828515,Male,25-34,,White,,,,,
Person search,2023-04-08T17:04:00+00:00,,,54.014160,-1.463606,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2023-04-09T00:04:00+00:00,,,53.949600,-1.074444,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-04-09T01:04:00+00:00,,,54.280874,-0.399993,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-04-09T01:04:00+00:00,,,54.348432,-1.432050,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),,,False,
Person search,2023-04-09T03:04:00+00:00,,,53.885910,-1.258765,Female,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,True,
Person and Vehicle search,2023-04-09T13:04:00+00:00,,,,,Male,18-24,,White,,,,,
Person search,2023-04-09T16:04:00+00:00,,,53.956544,-1.061590,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2023-04-09T18:04:00+00:00,,,54.280726,-0.402380,Male,25-34,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2023-04-09T19:04:00+00:00,,,53.795585,-1.236721,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,
