Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-08-01T22:08:00+00:00,,,53.941910,-1.129392,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-08-02T01:08:00+00:00,,,53.954439,-1.077608,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-08-02T03:08:00+00:00,,,,,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-08-02T04:08:00+00:00,,,,,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-08-02T05:08:00+00:00,,,54.250792,-0.478308,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-08-02T06:08:00+00:00,,,53.995461,-1.508844,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,
Person search,2023-08-02T19:08:00+00:00,,,54.288741,-0.407604,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,
Person search,2023-08-02T19:08:00+00:00,,,54.288741,-0.407604,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-08-02T19:08:00+00:00,,,54.288741,-0.407604,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-08-04T01:08:00+00:00,,,53.957537,-1.083087,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-08-04T03:08:00+00:00,,,54.189780,-1.458056,Male,18-24,,Asian,,,,,
Person and Vehicle search,2023-08-04T07:08:00+00:00,,,54.190590,-1.574887,Male,18-24,,,,,,False,
Person search,2023-08-04T12:08:00+00:00,,,53.993577,-1.543903,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-08-04T13:08:00+00:00,,,53.996136,-1.536187,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,
Person and Vehicle search,2023-08-04T18:08:00+00:00,,,54.078396,-1.535210,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,False,
Person search,2023-08-04T21:08:00+00:00,,,54.285430,-0.401906,Male,25-34,,White,,,,,
