Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2023-09-01T04:09:00+00:00,,,54.295347,-0.448972,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-09-01T07:09:00+00:00,,,54.003307,-1.531286,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-09-02T18:09:00+00:00,,,54.253783,-0.450931,Female,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Vehicle search,2023-09-02T23:09:00+00:00,,,54.078614,-2.033009,,over 34,,,,,,,
Person search,2023-09-03T17:09:00+00:00,,,54.281982,-0.402884,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person and Vehicle search,2023-09-03T20:09:00+00:00,,,54.079764,-2.034400,Male,25-34,,White,,,,False,
Person search,2023-09-03T22:09:00+00:00,,,54.001749,-1.528176,Male,over 34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-09-04T01:09:00+00:00,,,53.677480,-1.156350,Female,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,
Person and Vehicle search,2023-09-04T05:09:00+00:00,,,53.834790,-1.931525,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-09-04T22:09:00+00:00,,,54.124753,-1.523292,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2023-09-04T22:09:00+00:00,,,53.760376,-1.227924,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-09-05T14:09:00+00:00,,,54.282121,-0.400915,Female,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-09-05T15:09:00+00:00,,,53.785744,-1.064266,Female,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2023-09-05T22:09:00+00:00,,,54.266100,-0.416565,Female,18-24,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,
Person and Vehicle search,2023-09-05T22:09:00+00:00,,,54.266100,-0.416565,Female,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,
Person and Vehicle search,2023-09-05T22:09:00+00:00,,,54.266100,-0.416565,Female,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,
Person search,2023-09-06T07:09:00+00:00,,,54.334704,-1.444619,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-09-06T17:09:00+00:00,,,54.284742,-0.428644,Male,10-17,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-09-06T17:09:00+00:00,,,54.284742,-0.428644,Male,10-17,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2023-09-07T07:09:00+00:00,,,54.281276,-0.407259,Male,over 34,,Black,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,,False,
Person search,2023-09-07T17:09:00+00:00,,,53.966683,-1.082505,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2023-09-08T06:09:00+00:00,,,53.960778,-1.079084,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2023-09-08T12:09:00+00:00,,,54.002945,-1.533029,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-09-08T13:09:00+00:00,,,54.004449,-1.533745,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-09-08T15:09:00+00:00,,,54.336832,-1.438546,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-09-08T19:09:00+00:00,,,54.336832,-1.438546,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-09-08T19:09:00+00:00,,,54.334275,-1.441303,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-09-08T19:09:00+00:00,,,54.334275,-1.441303,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
