Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-04-01T00:00:00+00:00,,,51.581345,-2.991778,Female,over 34,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-01T00:00:00+00:00,,,51.581345,-2.991778,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,,,
Vehicle search,2023-04-01T00:00:00+00:00,,,51.581345,-2.991778,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-01T00:29:00+00:00,,,51.653697,-3.021502,Male,25-34,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2023-04-01T02:00:00+00:00,,,51.579122,-2.949561,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,
Person search,2023-04-01T12:00:00+00:00,,,51.590490,-2.990649,Male,over 34,White - Any other White background,,Firearms Act 1968 (section 47),Article for use in theft,,,
Person search,2023-04-01T15:00:00+00:00,,,51.585097,-3.047573,Male,18-24,Asian/Asian British - Any other Asian background,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-01T16:00:00+00:00,,,51.591144,-2.982291,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Person search,2023-04-01T19:00:00+00:00,,,51.613578,-2.953991,Male,18-24,Other ethnic group - Any other ethnic group,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-04-01T19:00:00+00:00,,,51.613578,-2.953991,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2023-04-01T22:00:00+00:00,,,51.703347,-3.138954,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-04-01T22:00:00+00:00,,,51.579361,-2.995603,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-02T01:00:00+00:00,,,,,Male,over 34,Mixed/Multiple ethnic groups - White and Asian,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2023-04-02T13:00:00+00:00,,,51.589868,-3.041722,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-02T14:00:00+00:00,,,51.688706,-3.226746,Male,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-02T14:00:00+00:00,,,51.832393,-3.014149,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-02T14:00:00+00:00,,,51.836221,-3.014380,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-02T14:00:00+00:00,,,51.836221,-3.014380,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-04-02T14:00:00+00:00,,,51.688706,-3.226746,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Vehicle search,2023-04-02T15:00:00+00:00,,,51.591144,-2.982291,,,,,Firearms Act 1968 (section 47),,A no further action disposal,,
Person search,2023-04-02T15:00:00+00:00,,,51.591144,-2.982291,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-04-02T16:00:00+00:00,,,51.765847,-3.246980,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2023-04-02T16:00:00+00:00,,,51.765847,-3.246980,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2023-04-02T17:00:00+00:00,,,51.574214,-2.946111,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-02T18:00:00+00:00,,,51.663257,-3.019143,,over 34,,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-04-02T19:00:00+00:00,,,51.582403,-2.993129,Male,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-02T23:00:00+00:00,,,51.690081,-3.231066,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-04-03T10:00:00+00:00,,,51.659071,-3.029082,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Vehicle search,2023-04-03T10:00:00+00:00,,,51.659071,-3.029082,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2023-04-03T19:00:00+00:00,,,51.670420,-3.205544,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,,,
Person search,2023-04-03T19:00:00+00:00,,,51.670420,-3.205544,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Person search,2023-04-03T19:00:00+00:00,,,51.670420,-3.205544,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Person search,2023-04-04T00:00:00+00:00,,,51.714696,-3.002582,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-04-04T06:00:00+00:00,,,51.591144,-2.982291,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-04-04T06:00:00+00:00,,,51.591144,-2.982291,Male,,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2023-04-04T13:00:00+00:00,,,51.597906,-3.000441,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-04T14:00:00+00:00,,,51.814169,-2.712904,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Vehicle search,2023-04-04T14:00:00+00:00,,,51.814169,-2.712904,,,,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,
Vehicle search,2023-04-04T14:00:00+00:00,,,51.776170,-3.247743,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-04T14:00:00+00:00,,,51.776170,-3.247743,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-04T19:00:00+00:00,,,51.704699,-3.042708,Male,25-34,,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-04-05T00:00:00+00:00,,,51.657361,-3.002183,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-04-05T01:00:00+00:00,,,51.583215,-3.218115,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2023-04-05T01:00:00+00:00,,,51.592138,-3.199457,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-04-05T01:00:00+00:00,,,51.809983,-3.033228,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-05T02:00:00+00:00,,,51.592648,-3.198850,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2023-04-05T03:00:00+00:00,,,51.591144,-2.982291,Male,25-34,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-04-05T03:00:00+00:00,,,51.591144,-2.982291,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-04-05T04:00:00+00:00,,,51.591144,-2.982291,Female,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
