Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-08-01T01:00:00+00:00,,,51.588461,-2.997721,Male,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2023-08-01T04:00:00+00:00,,,51.561353,-3.014223,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-08-01T10:00:00+00:00,,,51.710879,-3.052475,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Offensive weapons,,,
Person search,2023-08-01T21:00:00+00:00,,,51.782580,-2.672164,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2023-08-02T10:00:00+00:00,,,51.588762,-3.221670,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-08-02T13:00:00+00:00,,,51.587191,-3.001129,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2023-08-02T15:00:00+00:00,,,51.503603,-3.196957,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-08-02T16:00:00+00:00,,,51.580979,-2.993517,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,,,
Person search,2023-08-02T17:00:00+00:00,,,51.583150,-2.963976,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2023-08-02T19:00:00+00:00,,,51.571879,-3.166471,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-02T19:00:00+00:00,,,51.683154,-3.128452,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2023-08-02T19:00:00+00:00,,,51.571879,-3.166471,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,,,
Vehicle search,2023-08-02T19:00:00+00:00,,,51.683154,-3.128452,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-02T20:00:00+00:00,,,51.571879,-3.166471,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-03T02:00:00+00:00,,,51.826961,-3.014302,Male,25-34,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-03T03:00:00+00:00,,,51.590799,-2.992316,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2023-08-03T03:00:00+00:00,,,51.590799,-2.992316,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-03T03:00:00+00:00,,,51.590799,-2.992316,Male,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-03T06:00:00+00:00,,,51.604402,-2.973206,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,
Person search,2023-08-03T06:00:00+00:00,,,51.772183,-3.243865,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-08-03T07:00:00+00:00,,,51.580979,-2.993517,Male,over 34,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2023-08-03T11:00:00+00:00,,,51.585868,-3.000147,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-08-03T12:00:00+00:00,,,51.581345,-2.991778,Male,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-03T14:00:00+00:00,,,51.809086,-2.725065,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-03T18:00:00+00:00,,,51.642419,-3.461327,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,,,
Person search,2023-08-03T21:00:00+00:00,,,51.759277,-3.285167,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-03T21:00:00+00:00,,,51.580847,-2.987900,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,
Person search,2023-08-03T21:00:00+00:00,,,51.581564,-2.989214,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-08-04T00:00:00+00:00,,,51.581564,-2.989214,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2023-08-04T01:00:00+00:00,,,51.592495,-2.957043,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2023-08-04T01:00:00+00:00,,,51.599673,-2.946741,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-08-04T01:00:00+00:00,,,51.594469,-2.948726,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,
Person search,2023-08-04T01:00:00+00:00,,,51.599673,-2.946741,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2023-08-04T01:00:00+00:00,,,,,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,,,,,
Person search,2023-08-04T02:00:00+00:00,,,51.599673,-2.946741,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),,,,
Person search,2023-08-04T13:00:00+00:00,,,,,,,,,,,,,
Person search,2023-08-04T14:00:00+00:00,,,51.607246,-3.035895,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-04T15:00:00+00:00,,,51.593230,-2.996238,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-04T15:00:00+00:00,,,51.601360,-3.079453,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,,
Vehicle search,2023-08-04T15:00:00+00:00,,,51.593230,-2.996238,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-04T15:00:00+00:00,,,51.601360,-3.079453,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,,
Person search,2023-08-04T15:00:00+00:00,,,51.593230,-2.996238,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-04T15:00:00+00:00,,,51.593230,-2.996238,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2023-08-04T20:00:00+00:00,,,51.730338,-3.137214,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),,,,
Person search,2023-08-04T20:00:00+00:00,,,51.729662,-3.135468,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Stolen goods,A no further action disposal,,
Person search,2023-08-04T21:00:00+00:00,,,51.578951,-3.017183,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,,
