Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-06-01T09:06:00+00:00,,,54.408646,-1.726208,Male,10-17,,White,,,,,
Person search,2023-06-02T02:06:00+00:00,,,53.958398,-1.092228,Male,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-06-02T17:06:00+00:00,,,53.886793,-1.257548,Male,over 34,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-06-02T20:06:00+00:00,,,53.956194,-1.111234,Male,10-17,,,,,,,
Person search,2023-06-03T01:06:00+00:00,,,54.279745,-0.402986,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-06-03T04:06:00+00:00,,,54.280957,-0.401495,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person and Vehicle search,2023-06-03T09:06:00+00:00,,,53.647934,-1.210312,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-06-03T15:06:00+00:00,,,54.506163,-0.816592,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-06-04T06:06:00+00:00,,,53.959314,-1.008401,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2023-06-04T06:06:00+00:00,,,53.959314,-1.008401,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2023-06-04T07:06:00+00:00,,,53.852759,-1.349605,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2023-06-04T17:06:00+00:00,,,53.945119,-1.082553,Male,18-24,,White,,,,,
Person search,2023-06-04T17:06:00+00:00,,,53.945119,-1.082553,Male,18-24,,White,,,,,
Person search,2023-06-04T18:06:00+00:00,,,53.994681,-1.545996,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2023-06-05T01:06:00+00:00,,,53.993735,-1.543093,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
