Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-05-01T01:05:00+00:00,,,54.204722,-0.300654,Male,10-17,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-01T07:05:00+00:00,,,54.132121,-0.797358,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-01T09:05:00+00:00,,,53.958346,-1.080242,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-01T10:05:00+00:00,,,53.958346,-1.080242,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-02T13:05:00+00:00,,,54.279884,-0.416221,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Arrest,True,
Person search,2023-05-02T14:05:00+00:00,,,54.280683,-0.419570,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-02T20:05:00+00:00,,,54.277494,-0.404041,Female,18-24,,White,,,,,
Person search,2023-05-02T22:05:00+00:00,,,53.996236,-1.531838,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-02T22:05:00+00:00,,,53.996236,-1.531838,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-02T23:05:00+00:00,,,54.278741,-0.403194,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-03T11:05:00+00:00,,,53.993722,-1.544283,Male,25-34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-03T14:05:00+00:00,,,53.993722,-1.544283,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-03T18:05:00+00:00,,,54.482523,-0.614663,,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-03T18:05:00+00:00,,,54.482523,-0.614663,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-03T19:05:00+00:00,,,54.482523,-0.614663,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,
Person search,2023-05-03T22:05:00+00:00,,,53.705530,-1.149593,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-03T23:05:00+00:00,,,54.121157,-1.525490,Male,10-17,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
