Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-05-03T23:05:00+00:00,,,54.121157,-1.525490,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person and Vehicle search,2023-05-03T23:05:00+00:00,,,54.121157,-1.525490,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2023-05-04T06:05:00+00:00,,,,,Female,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-04T06:05:00+00:00,,,53.957885,-1.059518,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-04T18:05:00+00:00,,,53.994745,-1.543798,Female,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-04T20:05:00+00:00,,,54.305847,-1.565463,Male,25-34,,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-04T23:05:00+00:00,,,53.882700,-1.265820,Female,over 34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-05T02:05:00+00:00,,,53.981266,-1.494983,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-05T02:05:00+00:00,,,53.981266,-1.494983,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-05T17:05:00+00:00,,,54.136427,-1.518674,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-05T17:05:00+00:00,,,54.136427,-1.518674,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-05T22:05:00+00:00,,,53.994745,-1.543798,Male,18-24,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2023-05-06T05:05:00+00:00,,,,,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-06T14:05:00+00:00,,,53.959662,-1.081996,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-06T15:05:00+00:00,,,53.994745,-1.543798,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-06T18:05:00+00:00,,,53.905633,-1.186416,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-06T20:05:00+00:00,,,54.278679,-0.419570,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-06T20:05:00+00:00,,,54.278679,-0.419570,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-06T20:05:00+00:00,,,53.958925,-2.037439,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-06T20:05:00+00:00,,,54.404845,-1.734383,Male,18-24,Asian/Asian British - Any other Asian background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-06T22:05:00+00:00,,,53.957537,-1.083087,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-07T05:05:00+00:00,,,53.958975,-1.530183,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-07T14:05:00+00:00,,,54.003815,-1.058468,Female,over 34,,White,,,,,
Person and Vehicle search,2023-05-07T15:05:00+00:00,,,54.284044,-0.400408,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person and Vehicle search,2023-05-07T15:05:00+00:00,,,54.284044,-0.400408,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-08T04:05:00+00:00,,,53.954837,-1.019507,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person and Vehicle search,2023-05-08T04:05:00+00:00,,,53.954837,-1.019507,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person and Vehicle search,2023-05-08T04:05:00+00:00,,,53.954837,-1.019507,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2023-05-08T15:05:00+00:00,,,53.981983,-1.563380,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2023-05-09T01:05:00+00:00,,,54.202908,-0.297003,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2023-05-09T15:05:00+00:00,,,54.337709,-1.431782,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-09T23:05:00+00:00,,,54.288713,-0.404114,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-09T23:05:00+00:00,,,54.288713,-0.404114,Female,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-11T05:05:00+00:00,,,53.586907,-1.237373,Male,25-34,Other ethnic group - Not stated,White,,Stolen goods,,False,
Person and Vehicle search,2023-05-11T12:05:00+00:00,,,54.005414,-1.536892,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-11T13:05:00+00:00,,,53.586907,-1.237373,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2023-05-11T18:05:00+00:00,,,54.311808,-1.569121,Male,25-34,,White,,,,,
Person search,2023-05-11T21:05:00+00:00,,,53.967105,-1.061551,Female,25-34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-11T21:05:00+00:00,,,53.966289,-1.059330,Male,over 34,White - Any other White background,Other,,,,,
Person search,2023-05-11T21:05:00+00:00,,,53.967105,-1.061551,Female,25-34,,,,,,,
Person search,2023-05-12T11:05:00+00:00,,,53.972734,-1.074582,Male,10-17,,White,,,,,
Person search,2023-05-12T12:05:00+00:00,,,53.972734,-1.074582,Male,10-17,,White,,,,,
Person search,2023-05-12T13:05:00+00:00,,,53.994696,-1.502005,Male,over 34,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2023-05-12T15:05:00+00:00,,,54.127130,-0.776660,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-12T16:05:00+00:00,,,53.969049,-1.097088,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2023-05-12T17:05:00+00:00,,,53.979806,-1.085007,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-12T17:05:00+00:00,,,53.964294,-1.116366,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2023-05-12T17:05:00+00:00,,,53.969049,-1.097088,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-12T20:05:00+00:00,,,54.282793,-0.398951,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-13T09:05:00+00:00,,,54.138644,-1.518020,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-13T15:05:00+00:00,,,53.956836,-1.079597,Male,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-13T20:05:00+00:00,,,53.988278,-1.537967,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-05-13T23:05:00+00:00,,,53.886616,-1.259437,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-05-14T04:05:00+00:00,,,,,Male,25-34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-14T09:05:00+00:00,,,53.959053,-1.079183,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-14T14:05:00+00:00,,,54.442307,-1.671485,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-15T05:05:00+00:00,,,53.920657,-1.161494,Male,18-24,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-15T13:05:00+00:00,,,53.991674,-1.535108,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-15T14:05:00+00:00,,,54.265162,-0.418336,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person and Vehicle search,2023-05-15T15:05:00+00:00,,,54.265162,-0.418336,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-15T21:05:00+00:00,,,53.988808,-1.499665,Male,18-24,,White,,,,,
Person and Vehicle search,2023-05-15T22:05:00+00:00,,,53.988808,-1.499665,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-15T22:05:00+00:00,,,53.988808,-1.499665,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-15T22:05:00+00:00,,,53.988808,-1.499665,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-16T01:05:00+00:00,,,53.992510,-1.512479,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-17T13:05:00+00:00,,,53.995474,-1.539275,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2023-05-18T02:05:00+00:00,,,54.288555,-0.399762,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-18T10:05:00+00:00,,,54.002026,-1.527715,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2023-05-18T12:05:00+00:00,,,53.905633,-1.186416,Male,25-34,,Asian,,,,,
Person search,2023-05-18T16:05:00+00:00,,,53.905633,-1.186416,,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2023-05-18T16:05:00+00:00,,,53.996136,-1.536187,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-18T17:05:00+00:00,,,53.961131,-2.020417,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-18T17:05:00+00:00,,,53.961131,-2.020417,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-18T17:05:00+00:00,,,53.961131,-2.020417,Male,10-17,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person search,2023-05-19T01:05:00+00:00,,,53.967548,-1.091130,Male,over 34,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2023-05-19T04:05:00+00:00,,,54.237066,-0.521834,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-19T04:05:00+00:00,,,54.237066,-0.521834,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-19T04:05:00+00:00,,,54.237066,-0.521834,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-19T17:05:00+00:00,,,54.272773,-0.415465,Female,10-17,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-19T19:05:00+00:00,,,54.141820,-0.806477,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-20T01:05:00+00:00,,,53.999601,-1.499368,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-20T03:05:00+00:00,,,53.775231,-1.039615,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-20T06:05:00+00:00,,,53.947979,-1.133456,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-20T16:05:00+00:00,,,53.774620,-1.469076,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2023-05-20T17:05:00+00:00,,,,,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-21T00:05:00+00:00,,,53.996143,-1.510804,Male,18-24,Other ethnic group - Not stated,White,,,,,
Person search,2023-05-21T01:05:00+00:00,,,53.993478,-1.490137,Male,18-24,Other ethnic group - Not stated,,,,,,
Person search,2023-05-21T08:05:00+00:00,,,54.488965,-0.620674,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-21T13:05:00+00:00,,,,,Female,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-05-21T15:05:00+00:00,,,53.947979,-1.133456,Female,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-21T21:05:00+00:00,,,53.995876,-1.506994,Female,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-21T21:05:00+00:00,,,53.995876,-1.506994,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-21T23:05:00+00:00,,,53.787281,-1.059618,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-22T00:05:00+00:00,,,53.787281,-1.059618,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-22T00:05:00+00:00,,,53.787281,-1.059618,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-22T01:05:00+00:00,,,54.281051,-0.403647,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-05-22T02:05:00+00:00,,,53.995876,-1.506994,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2023-05-22T18:05:00+00:00,,,54.405888,-1.718955,Female,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-22T20:05:00+00:00,,,53.954050,-1.059787,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,
Person search,2023-05-22T21:05:00+00:00,,,53.769829,-1.118026,Male,18-24,,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-22T21:05:00+00:00,,,53.794537,-1.040661,Male,over 34,,Asian,Police and Criminal Evidence Act 1984 (section 1),,,False,
Person search,2023-05-23T06:05:00+00:00,,,53.990510,-1.548115,Male,25-34,,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2023-05-23T06:05:00+00:00,,,54.008526,-1.376354,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2023-05-23T10:05:00+00:00,,,53.991571,-1.531860,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-23T15:05:00+00:00,,,53.979095,-1.536285,Female,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-23T18:05:00+00:00,,,53.947979,-1.133456,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-23T20:05:00+00:00,,,53.949449,-1.131658,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-23T20:05:00+00:00,,,53.949449,-1.131658,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-23T22:05:00+00:00,,,53.997213,-1.528944,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2023-05-23T22:05:00+00:00,,,53.997213,-1.528944,Male,18-24,,White,,,,,
Person and Vehicle search,2023-05-23T22:05:00+00:00,,,53.997213,-1.528944,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2023-05-23T22:05:00+00:00,,,53.997213,-1.528944,Male,18-24,,White,,,,,
Person and Vehicle search,2023-05-23T23:05:00+00:00,,,54.129228,-0.777869,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2023-05-23T23:05:00+00:00,,,53.957553,-2.021680,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,
Person search,2023-05-24T07:05:00+00:00,,,53.954869,-1.080729,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2023-05-24T07:05:00+00:00,,,53.958064,-1.081430,Male,25-34,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-24T08:05:00+00:00,,,53.905633,-1.186416,,25-34,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-24T08:05:00+00:00,,,53.717549,-1.166565,Male,over 34,,White,,Stolen goods,,False,
Person search,2023-05-24T08:05:00+00:00,,,53.905633,-1.186416,Male,25-34,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-24T09:05:00+00:00,,,53.705596,-1.143820,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-05-24T12:05:00+00:00,,,54.341178,-1.433780,Male,10-17,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-24T12:05:00+00:00,,,54.341178,-1.433780,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-24T14:05:00+00:00,,,54.171435,-1.391814,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-25T03:05:00+00:00,,,53.956150,-1.090996,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-05-25T18:05:00+00:00,,,53.956944,-1.081896,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-25T18:05:00+00:00,,,53.956569,-1.082240,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2023-05-26T10:05:00+00:00,,,53.772767,-1.064555,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-26T17:05:00+00:00,,,54.010412,-1.469712,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-27T13:05:00+00:00,,,54.310560,-1.828515,Male,18-24,,White,,,,,
Person search,2023-05-27T15:05:00+00:00,,,54.310560,-1.828515,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2023-05-27T15:05:00+00:00,,,54.310560,-1.828515,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2023-05-27T16:05:00+00:00,,,54.000232,-1.542594,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-27T23:05:00+00:00,,,54.470384,-1.188713,Male,25-34,Asian/Asian British - Any other Asian background,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2023-05-28T06:05:00+00:00,,,54.189780,-1.458056,Male,over 34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2023-05-28T15:05:00+00:00,,,54.341148,-1.421706,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,True,
Person search,2023-05-28T20:05:00+00:00,,,54.484824,-0.616042,Male,10-17,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-28T21:05:00+00:00,,,54.484824,-0.616042,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-29T01:05:00+00:00,,,53.923868,-1.070272,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-29T03:05:00+00:00,,,54.133574,-0.797087,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-29T22:05:00+00:00,,,,,Male,18-24,Other ethnic group - Not stated,White,,,,,
Person search,2023-05-30T00:05:00+00:00,,,54.284462,-0.421960,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-05-30T12:05:00+00:00,,,53.956813,-1.087157,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,,False,
Person search,2023-05-30T22:05:00+00:00,,,54.269149,-0.928685,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-05-30T22:05:00+00:00,,,54.269149,-0.928685,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-05-31T00:05:00+00:00,,,53.859686,-1.326076,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2023-05-31T17:05:00+00:00,,,54.342200,-1.432775,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-05-31T20:05:00+00:00,,,54.382079,-1.685107,Male,10-17,,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-05-31T20:05:00+00:00,,,54.381207,-1.685298,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-05-31T21:05:00+00:00,,,54.379587,-1.687836,Male,,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
